day,symbol,avg_entity_sentiment,avg_event_sentiment,avg_story_traffic,avg_event_relevance
2014-03-01T00:00:00.000-05,AAPL,6.6417,6.6167,30742825.42,56.4167
2014-03-02T00:00:00.000-05,AAPL,21.93,25.355,14881073.6,71.29
2014-03-03T00:00:00.000-05,AAPL,25.3836,27.3848,106764016.3,71.8049
2014-03-04T00:00:00.000-05,AAPL,10.3145,10.6587,87011658.22,72.9018
2014-03-05T00:00:00.000-05,AAPL,22.7347,21.7688,189398004,72.2143
2014-03-06T00:00:00.000-05,AAPL,3.1,3.5802,153186020.7,75.3938
2014-03-07T00:00:00.000-05,AAPL,12.3929,12.0548,11832089.88,78.8214
2014-03-08T00:00:00.000-05,AAPL,0.0619,-0.0024,92820300,73.3262
2014-03-09T00:00:00.000-05,AAPL,-14.0188,-15.75,246787376.8,82.2562
2014-03-10T00:00:00.000-04,AAPL,4.9224,6.1469,163730785.9,76.0959
2014-03-11T00:00:00.000-04,AAPL,14.2567,14.9758,68049664.87,77.1067
2014-03-12T00:00:00.000-04,AAPL,-1.0709,-2.3221,85359395.52,69.8256
2014-03-13T00:00:00.000-04,AAPL,16.3059,15.7127,93369914.9,76.4784
2014-03-14T00:00:00.000-04,AAPL,15.5375,15.7828,73847885.88,77.07
2014-03-15T00:00:00.000-04,AAPL,-2.0333,-2.2583,21532290.83,79.7167
2014-03-16T00:00:00.000-04,AAPL,37.115,38.6225,129974999.9,78.445
2014-03-17T00:00:00.000-04,AAPL,18.835,17.3563,71366625.15,85.545
2014-03-18T00:00:00.000-04,AAPL,23.7253,23.481,44656728.73,74.0916
2014-03-19T00:00:00.000-04,AAPL,29.8073,31.3436,120212218,78.4309
2014-03-20T00:00:00.000-04,AAPL,17.8463,17.442,21358391.17,80.5146
2014-03-21T00:00:00.000-04,AAPL,7.9143,8.9061,43916297.33,78.5898
2014-03-22T00:00:00.000-04,AAPL,35.9714,37.8714,26499546,67.2429
2014-03-23T00:00:00.000-04,AAPL,-1.3773,-1.3773,162389677.2,79.1
2014-03-24T00:00:00.000-04,AAPL,14.4429,15.0648,48553570.55,74.7333
2014-03-25T00:00:00.000-04,AAPL,7.182,7.6197,118862078.6,76.3984
2014-03-26T00:00:00.000-04,AAPL,28.9209,27.4919,120101347.3,78.4279
2014-03-27T00:00:00.000-04,AAPL,15.0398,14.2907,38925330.59,70.3446
2014-03-28T00:00:00.000-04,AAPL,14.6772,14.4911,64543302.95,68.4975
2014-03-29T00:00:00.000-04,AAPL,11.8846,11.7654,216369040.5,78.8654
2014-03-30T00:00:00.000-04,AAPL,-17.0077,-17,383754086.5,73.1615
2014-03-31T00:00:00.000-04,AAPL,7.0725,7.2109,164078192.8,72.287
2014-04-01T00:00:00.000-04,AAPL,12.3951,15.9034,16079695.39,73.8656
2014-04-02T00:00:00.000-04,AAPL,33.3873,33.7781,1160780413,78.2254
2014-04-03T00:00:00.000-04,AAPL,17.8197,17.6321,140813019.2,79.4451
2014-04-04T00:00:00.000-04,AAPL,18.025,18.8691,12106713.82,74.8
2014-04-05T00:00:00.000-04,AAPL,51.5561,51.8293,8399626.098,75.4
2014-04-06T00:00:00.000-04,AAPL,23.3575,23.4138,33893161.44,90.1212
2014-04-07T00:00:00.000-04,AAPL,14.8344,15.0356,16742386.48,75.0234
2014-04-08T00:00:00.000-04,AAPL,12.8133,12.7944,102984561,81.2756
2014-04-09T00:00:00.000-04,AAPL,2.4021,2.6285,138884493.3,75.3125
2014-04-10T00:00:00.000-04,AAPL,4.2708,3.424,564235739.7,73.6021
2014-04-11T00:00:00.000-04,AAPL,11.0049,11.028,51757585.51,80.2146
2014-04-12T00:00:00.000-04,AAPL,25.1,24.7846,250082809.6,81.8846
2014-04-13T00:00:00.000-04,AAPL,48.575,48.1844,404082765,91.3938
2014-04-14T00:00:00.000-04,AAPL,-4.2763,-3.4627,27535092.34,82.3864
2014-04-15T00:00:00.000-04,AAPL,-5.0417,-6.6556,54336997.28,76.9583
2014-04-16T00:00:00.000-04,AAPL,16.8222,19.3847,471842438.2,82.5167
2014-04-17T00:00:00.000-04,AAPL,10.4742,11.0903,3834815544,59.5177
2014-04-18T00:00:00.000-04,AAPL,18.15,18.2792,227766683.6,68.9708
2014-04-19T00:00:00.000-04,AAPL,3.1245,2.0541,225425960.2,57.7347
2014-04-20T00:00:00.000-04,AAPL,24.7857,23.569,240967038.1,80.6857
2014-04-21T00:00:00.000-04,AAPL,17.5221,19.8069,413781285.6,67.8971
2014-04-22T00:00:00.000-04,AAPL,21.6493,21.9728,137295883.5,73.6761
2014-04-23T00:00:00.000-04,AAPL,8.7167,8.9335,177635576.9,82.4644
2014-04-24T00:00:00.000-04,AAPL,10.4874,10.5988,96816881.82,77.6576
2014-04-25T00:00:00.000-04,AAPL,17.1057,17.3086,211097291.9,77.1425
2014-04-26T00:00:00.000-04,AAPL,21.4,20.2615,319223595.1,71.2846
2014-04-27T00:00:00.000-04,AAPL,34.1182,33.1841,169782899.8,81.0409
2014-04-28T00:00:00.000-04,AAPL,15.9533,15.58,81053868.58,80.8433
2014-04-29T00:00:00.000-04,AAPL,8.7594,9.3458,356526610.8,79.8464
2014-04-30T00:00:00.000-04,AAPL,17.2746,16.4763,151409320.5,74.127
2014-05-01T00:00:00.000-04,AAPL,11.2578,13.8707,92970717.69,73.58
2014-05-02T00:00:00.000-04,AAPL,21.2514,21.5443,533891211,73.2114
2014-05-03T00:00:00.000-04,AAPL,14.3033,15.2527,381167492.3,75.6
2014-05-04T00:00:00.000-04,AAPL,17.8143,17.7167,178267806.2,66.5
2014-05-05T00:00:00.000-04,AAPL,-2.8222,-3.3376,355779686.8,79.6611
2014-05-06T00:00:00.000-04,AAPL,-0.1942,0.2029,38475419.81,68.5865
2014-05-07T00:00:00.000-04,AAPL,22.8551,24.199,28457656.32,77.609
2014-05-08T00:00:00.000-04,AAPL,19.0472,18.1875,146533818.9,77.9306
2014-05-09T00:00:00.000-04,AAPL,16.0506,16.0126,189436385.4,71.7333
2014-05-10T00:00:00.000-04,AAPL,13.264,13.4014,215661644.1,71.728
2014-05-11T00:00:00.000-04,AAPL,9.1182,8.9909,583736507.1,83.4909
2014-05-12T00:00:00.000-04,AAPL,15.7509,16.4588,15352989.7,81.8018
2014-05-13T00:00:00.000-04,AAPL,16.9378,17.1095,565867316.2,78.0027
2014-05-14T00:00:00.000-04,AAPL,6.6881,6.1319,233780523.5,70.5109
2014-05-15T00:00:00.000-04,AAPL,23.644,24.533,41700794.62,68.564
2014-05-16T00:00:00.000-04,AAPL,13.7778,14.3159,302889234.6,69.3302
2014-05-17T00:00:00.000-04,AAPL,-25.1786,-25.2027,158189637.7,69.8625
2014-05-18T00:00:00.000-04,AAPL,-12.925,-12.6833,162081729.2,69.3208
2014-05-19T00:00:00.000-04,AAPL,9.7982,11.8136,41428250.36,78.2273
2014-05-20T00:00:00.000-04,AAPL,10.6927,9.3809,313899746.9,67.2818
2014-05-21T00:00:00.000-04,AAPL,30.1269,30.8297,151591671,72.3103
2014-05-22T00:00:00.000-04,AAPL,28.1892,28.7977,133144247.3,74.1154
2014-05-23T00:00:00.000-04,AAPL,7.3917,3.5,63457694,71.4167
2014-05-24T00:00:00.000-04,AAPL,3.512,3.8988,81690720.36,81.724
2014-05-25T00:00:00.000-04,AAPL,-41.9622,-42.7973,459662116.6,76.2351
2014-05-26T00:00:00.000-04,AAPL,-61.4333,-60.9315,28426326.47,75.4136
2014-05-27T00:00:00.000-04,AAPL,15.8689,15.1101,1167384250,69.1757
2014-05-28T00:00:00.000-04,AAPL,5.6091,5.7653,96155782.32,77.042
2014-05-29T00:00:00.000-04,AAPL,27.5382,27.2525,29751625.37,79.7309
2014-05-30T00:00:00.000-04,AAPL,12.0854,11.7162,89748945.69,79.0534
2014-05-31T00:00:00.000-04,AAPL,14.0333,12.7569,6040236.028,81.6417
2014-06-01T00:00:00.000-04,AAPL,20.4833,22.05,140176127.8,82.9
2014-06-02T00:00:00.000-04,AAPL,30.4854,29.345,56094688.66,74.1489
